                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.2855,                0.67562,                 1.2878,                      0,                      0,                      0,                      0,                      0,                 230.17,                      0,               0.000416,               0.000416,               0.000416
                     83,                 1.2689,                0.67691,                 1.3052,                      0,                      0,                      0,                      0,                      0,                 233.25,                      0,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2764,                0.68307,                 1.3454,                      0,                      0,                      0,                      0,                      0,                 233.25,                      0,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2666,                0.68118,                 1.3605,                      0,                      0,                      0,                      0,                      0,                 239.29,                      0,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.255,                0.68442,                 1.2712,                      0,                      0,                      0,                      0,                      0,                 252.21,                      0,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2395,                0.70086,                 1.3115,                      0,                      0,                      0,                      0,                      0,                 266.08,                      0,               0.000317,               0.000317,               0.000317
                     88,                 1.1499,                0.63387,                 1.2386,                      0,                      0,                      0,                      0,                      0,                 274.58,                      0,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2613,                0.65842,                 1.2596,                      0,                      0,                      0,                      0,                      0,                 274.58,                      0,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2356,                0.63311,                 1.2777,                      0,                      0,                      0,                      0,                      0,                 290.42,                      0,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3107,                0.80554,                 1.3563,                      0,                      0,                      0,                      0,                      0,                 297.46,                      0,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.2151,                0.77139,                 1.3373,                      0,                      0,                      0,                      0,                      0,                 303.42,                      0,               0.000218,               0.000218,               0.000218
                     93,                 1.3008,                0.74326,                 1.3251,                      0,                      0,                      0,                      0,                      0,                 280.33,                      0,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2867,                0.76291,                 1.4587,                      0,                      0,                      0,                      0,                      0,                 245.38,                      0,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.2184,                0.64912,                 1.2307,                      0,                      0,                      0,                      0,                      0,                 245.38,                      0,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.2001,                0.67007,                 1.2985,                      0,                      0,                      0,                      0,                      0,                 219.54,                      0,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.2581,                0.67887,                 1.3703,                      0,                      0,                      0,                      0,                      0,                 203.79,                      0,               0.000119,               0.000119,               0.000119
                     98,                 1.2078,                 0.6656,                  1.311,                      0,                      0,                      0,                      0,                      0,                 199.06,                      0,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.2256,                0.66683,                 1.3129,                      0,                      0,                      0,                      0,                      0,                 196.62,                      0,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.2147,                0.63401,                 1.2835,                      0,                      0,                      0,                      0,                      0,                 196.62,                      0,               5.96e-05,               5.96e-05,               5.96e-05
